Detailed Sales Report - Product and Services ALL,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,SKU,Customer,Customer full name,Memo/Description,Quantity,Sales price,Amount,Balance,Full name,Product/Service full name,Payment method,Tracking #,Service date,Ship date
Credit Card Processing,,,,,,,,,,,,,,,,,
Credit Card Processing Fee,,,,,,,,,,,,,,,,,
,09/17/2024,Invoice,1210,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,29.00,29.00,"3,765.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000367843281,,09/17/2024
,09/25/2024,Invoice,1211,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,8.80,8.80,"3,774.01",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000336621159,,09/25/2024
,09/25/2024,Invoice,1212,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,17.60,17.60,"3,791.61",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000336621159,,09/25/2024
,09/26/2024,Invoice,1213,4%,Chain Electric - West Monroe Yard,Chain Electric:Chain Electric - West Monroe Yard,4% Credit Card Processing Fee,1.00,55.00,55.00,"3,846.61",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000336661759,,09/26/2024
,10/09/2024,Invoice,1215,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.43,10.43,"3,857.04",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000371471184,,10/09/2024
,10/14/2024,Invoice,1216,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,9.60,9.60,"3,866.64",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000371471184,,10/14/2024
,10/14/2024,Invoice,1217,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,9.60,9.60,"3,876.24",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000371471184,,10/14/2024
,10/21/2024,Invoice,1219,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.32,10.32,"3,886.56",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000338883159,,10/21/2024
,10/23/2024,Invoice,1221,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,35.80,35.80,"3,922.36",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000339031059,,10/23/2024
,10/28/2024,Invoice,1228,4%,NAPA - Mississippi Power Parts,Mississippi Power:Mississippi Power - Fleet:NAPA - Mississippi Power Parts,4% Credit Card Processing Fee,1.00,554.45,554.45,"4,476.81",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,2358031354,,10/04/2024
,10/29/2024,Invoice,1229,4%,Chain Electric,Chain Electric,4% Credit Card Processing Fee,1.00,95.00,95.00,"4,571.81",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,QuickBooks Payments-Credit Card,1Z2W49000372671788,,10/30/2024
,10/31/2024,Invoice,1230,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,12.00,12.00,"4,583.81",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000339448654,,11/01/2024
,11/06/2024,Invoice,1231,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,50.00,50.00,"4,633.81",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z4309870392748320,,11/06/2024
,11/07/2024,Invoice,1232,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.10,10.10,"4,643.91",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000379388180,,11/07/2024
,11/12/2024,Invoice,1233,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,18.50,18.50,"4,662.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000346269450,,11/13/2024
,11/14/2024,Invoice,1237,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,10.00,10.00,"4,672.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000346440559,,11/14/2024
